Location of Private Lateral,Zipcode,"Date of WW
Release",lat,long
6827 AVENUE P HOUSTON TX 77011,77011,2021-08-12,29.746939,-95.300878
1702 FOREST HILL BLVD HOUSTON TX 77023,77023,2021-08-12,29.7262689,-95.3022256
4643 E O S T DR HOUSTON TX 77013,77013,2021-08-12,29.7896383,-95.2371087
2101 PANNELL ST HOUSTON TX 77026,77026,2021-08-12,29.7808378,-95.3328025
6222 BRIAR SEASONS DR HOUSTON TX 77489,77489,2021-08-12,29.6010942,-95.4781764
4927 YELLOWSTONE BLVD HOUSTON TX 77021,77021,2021-08-12,29.6890661,-95.34562
800 COMMERCE ST HOUSTON TX 77002,77002,2021-08-13,29.7643437,-95.3610391
5203 FAIRGREEN LN HOUSTON TX 77048,77048,2021-08-13,29.6313188,-95.3464322999999
3520 S SHEPHERD DR HOUSTON TX 77098,77098,2021-08-13,29.7343943,-95.4109862
1259 W TIDWELL RD HOUSTON TX 77091,77091,2021-08-13,29.8467502,-95.431535
2430 DROXFORD DR HOUSTON TX 77008,77008,2021-08-14,29.7980883,-95.4434967
5307 DUMORE DR HOUSTON TX 77048,77048,2021-08-15,29.6379692,-95.3423330999999
2501 WESTRIDGE ST HOUSTON TX 77054,77054,2021-08-15,29.6819747,-95.4167841
8342 LA ROCHE LN HOUSTON TX 77036,77036,2021-08-16,29.6860853,-95.5380290999999
6614 CONLEY ST HOUSTON TX 77021,77021,2021-08-16,29.6929986,-95.3577077
4927 YELLOWSTONE BLVD HOUSTON TX 77021,77021,2021-08-16,29.6890661,-95.34562
5122 YELLOWSTONE BLVD HOUSTON TX 77021,77021,2021-08-16,29.6881623,-95.3425463
400 GREENS RD HOUSTON TX 77060,77060,2021-08-16,29.9502205,-95.4072494999999
9730 ALCANTERRA DR HOUSTON TX 77078,77078,2021-08-16,29.8540967,-95.2494897
307 GRACELAND ST HOUSTON TX 77009,77009,2021-08-17,29.8087890999999,-95.3674477
8142 ST LO RD HOUSTON TX 77033,77033,2021-08-17,29.6643045,-95.3420644
2030 DEAMS ST HOUSTON TX 77093,77093,2021-08-18,29.833482,-95.3483684
10822 STABLER LN HOUSTON TX 77076,77076,2021-08-18,29.8612629,-95.3740115999999
1319 CAPLIN ST HOUSTON TX 77022,77022,2021-08-18,29.8158831,-95.3549281999999
9754 BUENA PARK DR HOUSTON TX 77089,77089,2021-08-18,29.608049,-95.2376068999999
7330 SANTIAGO ST HOUSTON TX 77023,77023,2021-08-18,29.7249714,-95.2975166
6315 GULFTON ST HOUSTON TX 77081,77081,2021-08-19,29.7157469,-95.4947414
4330 CLAY ST HOUSTON TX 77023,77023,2021-08-19,29.7379068,-95.3360069
6627 CRESTHILL ST HOUSTON TX 77033,77033,2021-08-19,29.6849649,-95.3286902
5629 GRAPEVINE ST HOUSTON TX 77085,77085,2021-08-19,29.6158711,-95.4680008
3147 ROE DR HOUSTON TX 77087,77087,2021-08-19,29.6958609,-95.3055334
5006 IDAHO ST HOUSTON TX 77021,77021,2021-08-20,29.6862943,-95.3461037
3620 SOUTHMORE BLVD HOUSTON TX 77004,77004,2021-08-20,29.7129223,-95.3584566
8608 COMPTON ST HOUSTON TX 77016,77016,2021-08-20,29.839104,-95.3064012999999
1416 KIPLING ST HOUSTON TX 77006,77006,2021-08-20,29.7406124,-95.3965565
625 SEMINAR DR HOUSTON TX 77060,77060,2021-08-20,29.9488647,-95.3891297
12714 FAWNWAY DR HOUSTON TX 77048,77048,2021-08-20,29.6243798999999,-95.3434848
11231 TAMWORTH DR HOUSTON TX 77016,77016,2021-08-20,29.8822601,-95.2882728
103 BIRDSALL ST HOUSTON TX 77007,77007,2021-08-20,29.7603951,-95.4203311
7616 CLAREWOOD DR HOUSTON TX 77036,77036,2021-08-21,29.7102257,-95.5186531999999
7739 ANTOINE DR HOUSTON TX 77088,77088,2021-08-21,29.877615,-95.4741361
2420 POTOMAC DR HOUSTON TX 77057,77057,2021-08-22,29.7412129,-95.4889548
4102 OMEARA DR HOUSTON TX 77025,77025,2021-08-22,29.6723324,-95.4444211
5519 WINDING CREEK WAY HOUSTON TX 77017,77017,2021-08-22,29.6806522,-95.2384752
3735 HEATHERBLOOM DR HOUSTON TX 77045,77045,2021-08-22,29.6230688,-95.4333553
8037 SNOWDEN ST HOUSTON TX 77028,77028,2021-08-22,29.8461149,-95.2807294999999
3713 JENSEN DR HOUSTON TX 77026,77026,2021-08-23,29.8010345,-95.342694
12102 CRYSTALWOOD DR HOUSTON TX 77013,77013,2021-08-23,29.7814266,-95.2229342999999
5945 BELLAIRE BLVD HOUSTON TX 77081,77081,2021-08-23,29.705119,-95.4864561
6039 BELNEATH ST HOUSTON TX 77033,77033,2021-08-23,29.6623583,-95.3218289
1620 S LOOP FWY W HOUSTON TX 77054,77054,2021-08-24,29.7085112,-95.2709665
3630 WARD ST HOUSTON TX 77021,77021,2021-08-24,29.6931938,-95.3663768
11007 RADFORD LN HOUSTON TX 77099,77099,2021-08-24,29.6515653,-95.5760658
6220 EAST FWY HOUSTON TX 77020,77020,2021-08-24,29.773505,-95.3077848
2017 PRESLEY ST HOUSTON TX 77093,77093,2021-08-24,29.8278168,-95.3487023
4703 WINFREE DR HOUSTON TX 77021,77021,2021-08-25,29.7027758,-95.344629
5715 WALTRIP ST HOUSTON TX 77087,77087,2021-08-25,29.6822274,-95.3069754
8715 BERNDALE ST HOUSTON TX 77029,77029,2021-08-25,29.7664883,-95.2693008
8643 BERNDALE ST HOUSTON TX 77029,77029,2021-08-25,29.7665386,-95.2708720999999
8211 AVERT CT HOUSTON TX 77088,77088,2021-08-25,29.8788198,-95.4165574
1511 DEMAREE LN HOUSTON TX 77029,77029,2021-08-25,29.7641171,-95.277491
4823 DRAKESTONE BLVD HOUSTON TX 77053,77053,2021-08-26,29.6036886,-95.4524198
1216 NORTHWOOD ST HOUSTON TX 77009,77009,2021-08-26,29.803011,-95.377854
911 KELLEY ST HOUSTON TX 77009,77009,2021-08-26,29.813431,-95.3588918
5154 COSBY ST HOUSTON TX 77021,77021,2021-08-27,29.691936,-95.3394289
5715 WALTRIP ST HOUSTON TX 77087,77087,2021-08-27,29.6822274,-95.3069754
4103 ERBY ST HOUSTON TX 77087,77087,2021-08-27,29.7004032,-95.3093332999999
315 ENGLISH ST HOUSTON TX 77009,77009,2021-08-27,29.8081136,-95.3668879
12815 GLENHOLLOW DR HOUSTON TX 77048,77048,2021-08-27,29.6235877,-95.3463455
626 LITTLE FOX LN HOUSTON TX 77060,77060,2021-08-28,29.9457810999999,-95.3907285
5858 SOUTHVILLE ST HOUSTON TX 77033,77033,2021-08-28,29.6808717,-95.3321867
5726 GINERIDGE DR HOUSTON TX 77053,77053,2021-08-28,29.5945279,-95.4715661
13218 REMME RIDGE LN HOUSTON TX 77047,77047,2021-08-28,29.6155683,-95.4118981
12110 MURR WAY HOUSTON TX 77048,77048,2021-08-28,29.626989,-95.3493288
5421 ARAPAHOE ST HOUSTON TX 77020,77020,2021-08-29,29.7712187,-95.3163249
279 ELDON ST HOUSTON TX 77060,77060,2021-08-29,29.9239984,-95.3992351999999
2500 TEXAS ST HOUSTON TX 77003,77003,2021-08-29,29.7517551,-95.3495604
5102 WASHINGTON AVE HOUSTON TX 77007,77007,2021-08-29,29.7706281,-95.4128726
1322 CANTERVIEW DR HOUSTON TX 77047,77047,2021-08-30,29.6153026,-95.4016982999999
7121 AVENUE H HOUSTON TX 77011,77011,2021-08-30,29.7395203,-95.2968763
5630 RUE ST HOUSTON TX 77033,77033,2021-08-30,29.6508969,-95.3384131999999
7302 HEMLOCK ST HOUSTON TX 77012,77012,2021-08-30,29.7114415,-95.2882901999999
9631 JENSEN DR HOUSTON TX 77093,77093,2021-08-31,29.8507623,-95.3419388
5002 ENYART ST HOUSTON TX 77021,77021,2021-08-31,29.6921541,-95.3437539
10824 NORMEADOW LN HOUSTON TX 77076,77076,2021-08-31,29.861549,-95.3727799
7431 AVENUE L HOUSTON TX 77011,77011,2021-08-31,29.7404252999999,-95.2897722
5131 RIDGEWAY DR HOUSTON TX 77033,77033,2021-09-01,29.6714407,-95.3450676
11231 TAMWORTH DR HOUSTON TX 77016,77016,2021-09-01,29.8822601,-95.2882728
1531 TULANE ST HOUSTON TX 77008,77008,2021-09-01,29.7991681,-95.4027625
7411 AVENUE F HOUSTON TX 77011,77011,2021-09-01,29.7364097,-95.2923033
6614 LEEDALE ST HOUSTON TX 77016,77016,2021-09-02,29.8753727,-95.2901802999999
1803 LOCKWOOD DR HOUSTON TX 77020,77020,2021-09-03,29.7779063,-95.3161056
5002 CHENNAULT RD HOUSTON TX 77033,77033,2021-09-03,29.6817979,-95.3445065
12014 CRYSTALWOOD DR HOUSTON TX 77013,77013,2021-09-03,29.7816029,-95.2241595
2347 MINNESOTA ST HOUSTON TX 77034,77034,2021-09-03,29.6467395,-95.2389599
7720 AIRPORT BLVD HOUSTON TX 77061,77061,2021-09-03,29.6570433,-95.280158
407 AVENUE OF OAKS ST HOUSTON TX 77009,77009,2021-09-03,29.8118097,-95.3664556999999
4308 GREGORY ST HOUSTON TX 77026,77026,2021-09-03,29.7919157999999,-95.3265916
11246 SPOTTSWOOD DR HOUSTON TX 77016,77016,2021-09-03,29.8824645,-95.289772
11531 PLUMBROOK DR HOUSTON TX 77099,77099,2021-09-04,29.6657862,-95.5817630999999
811 W COTTAGE ST HOUSTON TX 77009,77009,2021-09-04,29.7923993,-95.3815498
5315 LEELAND ST HOUSTON TX 77023,77023,2021-09-04,29.7324257,-95.3208499
14518 LONE WILLOW LN HOUSTON TX 77489,77489,2021-09-05,29.6106115,-95.4975132
9824 EXETER ST HOUSTON TX 77093,77093,2021-09-05,29.8544767,-95.3561486999999
5326 RAPIDO RD HOUSTON TX 77033,77033,2021-09-06,29.6820688999999,-95.3381562
7229 PARKER RD HOUSTON TX 77016,77016,2021-09-06,29.8581499,-95.2979482
3611 ALBERTA ST HOUSTON TX 77021,77021,2021-09-07,29.6960393,-95.3662104
9754 BUENA PARK DR HOUSTON TX 77089,77089,2021-09-07,29.608049,-95.2376068999999
"5530 ENCLAVE FOUNTAIN LN 14 HOUSTON TX
77091",77091,2021-09-07,29.8564302,-95.4410924
6513 AVENUE H HOUSTON TX 77011,77011,2021-09-07,29.7434961,-95.3091816
6438 CROSSWELL ST HOUSTON TX 77087,77087,2021-09-07,29.6669383,-95.3177295999999
7321 BOGGESS RD HOUSTON TX 77016,77016,2021-09-07,29.8612754,-95.295583
3317 HOLMAN ST HOUSTON TX 77004,77004,2021-09-07,29.7269432,-95.3561953
1612 TERRY ST HOUSTON TX 77009,77009,2021-09-07,29.7760725,-95.3527948
5246 BURMA RD HOUSTON TX 77033,77033,2021-09-07,29.6788173,-95.3401599
7019 QUINCE ST HOUSTON TX 77087,77087,2021-09-08,29.7048926,-95.2938624
9414 SHERBOURNE ST HOUSTON TX 77016,77016,2021-09-08,29.8466828,-95.2952839
1608 MCKEE ST HOUSTON TX 77009,77009,2021-09-08,29.7758327,-95.3519237
7610 AVENUE J HOUSTON TX 77012,77012,2021-09-08,29.7377015,-95.2871909999999
2203 SAKOWITZ ST HOUSTON TX 77020,77020,2021-09-08,29.7812553,-95.3137323
600 E LITTLE YORK RD HOUSTON TX 77076,77076,2021-09-08,29.8696804,-95.3900649999999
14403 MEMORIAL DR HOUSTON TX 77079,77079,2021-09-08,29.7697802,-95.6003396
4923 GLENRIDGE LN HOUSTON TX 77053,77053,2021-09-08,29.6020749,-95.4539113
597 VAN MOLAN ST HOUSTON TX 77022,77022,2021-09-08,29.8296953999999,-95.3661899999999
"12714 HUNTINGTON FIELD DR HOUSTON TX
77099",77099,2021-09-09,29.6699075,-95.6089799
3524 GLEN HAVEN BLVD HOUSTON TX 77025,77025,2021-09-09,29.7015374,-95.4307164
7170 EDNA ST HOUSTON TX 77087,77087,2021-09-09,29.6839294999999,-95.3026108999999
4901 BRADY ST HOUSTON TX 77011,77011,2021-09-09,29.7465094999999,-95.324974
1502 HARRINGTON ST HOUSTON TX 77009,77009,2021-09-09,29.77634,-95.3528281999999
597 VAN MOLAN ST HOUSTON TX 77022,77022,2021-09-09,29.8296953999999,-95.3661899999999
4402 FLOYD ST HOUSTON TX 77007,77007,2021-09-10,29.7684473,-95.4050287
5822 SOUTHFORD ST HOUSTON TX 77033,77033,2021-09-10,29.6786271,-95.3346993999999
7602 TEESDALE DR HOUSTON TX 77028,77028,2021-09-10,29.8457143,-95.2913234
8110 BOTANY LN HOUSTON TX 77075,77075,2021-09-10,29.6306363,-95.275207
800 COMMERCE ST HOUSTON TX 77002,77002,2021-09-10,29.7643437,-95.3610391
4411 MAGGIE ST HOUSTON TX 77051,77051,2021-09-10,29.6623508,-95.361237
8006 CABOT ST A HOUSTON TX 77078,77078,2021-09-11,29.85409,-95.279145
6815 CRESTMONT ST HOUSTON TX 77033,77033,2021-09-11,29.6803274,-95.3285551
1237 W GRAY ST HOUSTON TX 77019,77019,2021-09-11,29.7530732,-95.3953157999999
5180 AVENUE L HOUSTON TX 77011,77011,2021-09-12,29.7507984,-95.3205231
2217 RUSSELL ST HOUSTON TX 77026,77026,2021-09-12,29.7823469,-95.3311856999999
1401 REDFORD ST HOUSTON TX 77034,77034,2021-09-12,29.6447389,-95.2435601
9234 N GREEN RIVER DR HOUSTON TX 77078,77078,2021-09-13,29.8354397,-95.2516113
7933 DARLINGTON DR HOUSTON TX 77028,77028,2021-09-15,29.8349175,-95.282704
2454 TURNER DR HOUSTON TX 77093,77093,2021-09-15,29.851461,-95.3457323999999
10018 VALLEY PARK DR HOUSTON TX 77078,77078,2021-09-15,29.852863,-95.2379653
6923 MCCULLUM RD HOUSTON TX 77489,77489,2021-09-15,29.5952001,-95.4892646999999
7917 TATE ST HOUSTON TX 77028,77028,2021-09-15,29.8104128,-95.2836382999999
2822 ALMEDA PLAZA DR HOUSTON TX 77045,77045,2021-09-15,29.635873,-95.4164346
5707 TURTLE CREEK RD HOUSTON TX 77017,77017,2021-09-15,29.6819355,-95.2325359
3822 DREYFUS ST HOUSTON TX 77021,77021,2021-09-15,29.6870993,-95.3654459999999
7510 SHADYVILLA LN HOUSTON TX 77055,77055,2021-09-16,29.7966743,-95.4794148
4704 AIRLINE DR HOUSTON TX 77022,77022,2021-09-16,29.8352424,-95.3838943
4103 JORNS ST HOUSTON TX 77045,77045,2021-09-16,29.6297963,-95.4392299
7121 AVENUE H HOUSTON TX 77011,77011,2021-09-16,29.7395203,-95.2968763
11726 MURR WAY HOUSTON TX 77048,77048,2021-09-17,29.6336854,-95.3497685
9610 S KENSINGTON DR HOUSTON TX 77031,77031,2021-09-17,29.647479,-95.5476418
7307 CURRY RD HOUSTON TX 77093,77093,2021-09-17,29.8254910999999,-95.337959
8142 ST LO RD HOUSTON TX 77033,77033,2021-09-17,29.6643045,-95.3420644
1014 76TH HOUSTON TX 77012,77012,2021-09-17,29.738495,-95.2873089
4737 PROVIDENCE ST HOUSTON TX 77020,77020,2021-09-18,29.7710105,-95.3215034999999
11254 SPOTTSWOOD DR HOUSTON TX 77016,77016,2021-09-18,29.88278,-95.289772
110 ROBERT LEE RD HOUSTON TX 77009,77009,2021-09-18,29.8096073,-95.3708899
1000 GREENS RD HOUSTON TX 77060,77060,2021-09-18,29.9500039,-95.3897374
4202 CRITES ST HOUSTON TX 77003,77003,2021-09-19,29.754266,-95.3285286
5306 HIDALGO ST HOUSTON TX 77056,77056,2021-09-19,29.7354805,-95.4686682
4118 LILA ST HOUSTON TX 77026,77026,2021-09-20,29.7874746,-95.3279431999999
1000 GREENS RD HOUSTON TX 77060,77060,2021-09-20,29.9500039,-95.3897374
2822 ALMEDA PLAZA DR HOUSTON TX 77045,77045,2021-09-20,29.635873,-95.4164346
8834 WOODLYN RD HOUSTON TX 77078,77078,2021-09-20,29.8412154,-95.260708
6107 GLENHURST DR HOUSTON TX 77033,77033,2021-09-20,29.6708641,-95.3234643
4409 HAYWOOD ST HOUSTON TX 77093,77093,2021-09-21,29.8613705,-95.324649
110 DE HAVEN ST HOUSTON TX 77029,77029,2021-09-21,29.7375091,-95.2615671
3502 RUTH ST HOUSTON TX 77004,77004,2021-09-21,29.7192332,-95.3583208
7828 ARBERRY ST HOUSTON TX 77012,77012,2021-09-21,29.7041914,-95.2810763999999
5042 BRISCOE ST HOUSTON TX 77033,77033,2021-09-21,29.670297,-95.3511473
7719 GLENBRAE ST HOUSTON TX 77061,77061,2021-09-21,29.6672721,-95.2802948
7450 ASHBURN ST HOUSTON TX 77061,77061,2021-09-22,29.6647857,-95.2927169
11930 5TH ST HOUSTON TX 77072,77072,2021-09-22,29.7143871,-95.5901418
2814 WINBERN ST HOUSTON TX 77004,77004,2021-09-22,29.728851,-95.3637088999999
2824 WINBERN ST HOUSTON TX 77004,77004,2021-09-22,29.7287279,-95.3634634
15818 RIDGEBAR CIR HOUSTON TX 77053,77053,2021-09-22,29.5928581,-95.451593
7115 HARTLAND ST HOUSTON TX 77055,77055,2021-09-23,29.7879143,-95.4733371
15126 ELKINS RD HOUSTON TX 77060,77060,2021-09-23,29.9211877,-95.3952025999999
7214 LAURA KOPPE RD HOUSTON TX 77028,77028,2021-09-23,29.8401527,-95.2985097
7016 NARCISSUS ST HOUSTON TX 77087,77087,2021-09-23,29.7067978,-95.2937774999999
4409 PHLOX ST HOUSTON TX 77051,77051,2021-09-24,29.6592792,-95.361336
3510 MOUNT PLEASANT ST HOUSTON TX 77021,77021,2021-09-24,29.6875444,-95.3735359
12226 VILLA LEA LN HOUSTON TX 77071,77071,2021-09-24,29.6432019,-95.5188031
3839 S LOOP FWY HOUSTON TX 77021,77021,2021-09-24,29.6949614,-95.2982548
1947 SIEBER DR HOUSTON TX 77017,77017,2021-09-24,29.6808425,-95.2406357999999
6838 LEEDALE ST HOUSTON TX 77016,77016,2021-09-24,29.8754034,-95.2871591
3420 STONEWALL ST HOUSTON TX 77020,77020,2021-09-25,29.7731344,-95.3348436
6304 CRANE ST HOUSTON TX 77026,77026,2021-09-26,29.7968334999999,-95.3061867999999
4901 BRADY ST HOUSTON TX 77011,77011,2021-09-26,29.7465094999999,-95.324974
12714 MILL VALLEY RD HOUSTON TX 77048,77048,2021-09-26,29.6243862,-95.3541774999999
210 W GREENS RD HOUSTON TX 77067,77067,2021-09-26,29.9500258,-95.4194674
6106 FOSTER ST HOUSTON TX 77021,77021,2021-09-26,29.6985822,-95.351796
7735 BELGARD ST HOUSTON TX 77033,77033,2021-09-27,29.6673734,-95.3249812
12411 YANCY DR HOUSTON TX 77015,77015,2021-09-27,29.7638579,-95.2180422
10910 SAGEWILLOW LN HOUSTON TX 77089,77089,2021-09-27,29.5927338,-95.2285639
5007 BRISBANE DR HOUSTON TX 77048,77048,2021-09-27,29.6380259,-95.3515456
5300 S LAKE HOUSTON PKWY HOUSTON TX 77049,77049,2021-09-27,29.8061342,-95.2152675999999
7720 AIRPORT BLVD HOUSTON TX 77061,77061,2021-09-27,29.6570433,-95.280158
1027 E 23RD ST HOUSTON TX 77009,77009,2021-09-27,29.8079051,-95.3851864999999
7632 CAMWOOD ST HOUSTON TX 77087,77087,2021-09-28,29.6859713,-95.2872637
5641 VAN ZANDT ST HOUSTON TX 77016,77016,2021-09-28,29.8820184,-95.3054109
734 FAWN DR HOUSTON TX 77015,77015,2021-09-28,29.785146,-95.2006935
3101 LOUISIANA ST HOUSTON TX 77006,77006,2021-09-28,29.743322,-95.3789463999999
5512 ROSSLYN RD HOUSTON TX 77091,77091,2021-09-28,29.8461242,-95.4423818
5102 CAVALCADE ST HOUSTON TX 77026,77026,2021-09-29,29.8001273999999,-95.3196244
7215 HILLSBORO ST HOUSTON TX 77020,77020,2021-09-29,29.7802338,-95.2972846999999
5734 BURWELL ST HOUSTON TX 77023,77023,2021-09-29,29.7160795999999,-95.3186747
7719 GLENBRAE ST HOUSTON TX 77061,77061,2021-09-29,29.6672721,-95.2802948
9735 W AIRPORT BLVD HOUSTON TX 77031,77031,2021-09-29,29.6408959,-95.5521667
16511 PARKROSE CT HOUSTON TX 77053,77053,2021-09-29,30.0809281,-95.2013114
9417 FAIRLAND DR HOUSTON TX 77051,77051,2021-09-30,29.6544475,-95.3735547
5663 BELCREST ST HOUSTON TX 77033,77033,2021-09-30,29.6648604,-95.3376555
7600 E HOUSTON RD HOUSTON TX 77028,77028,2021-09-30,29.8323763,-95.2691895999999
3307 BROADWAY ST HOUSTON TX 77017,77017,2021-09-30,29.6931061,-95.2772801999999
540 MARLEEN ST HOUSTON TX 77034,77034,2021-09-30,29.6514863,-95.2260354
6310 SLOAN ST HOUSTON TX 77087,77087,2021-10-01,29.6953708,-95.3146009
7430 MILEY ST HOUSTON TX 77028,77028,2021-10-01,29.8167952,-95.2942786
11215 SAGEWIND DR HOUSTON TX 77089,77089,2021-10-01,29.5894421,-95.2238332
9010 KENILWORTH ST HOUSTON TX 77024,77024,2021-10-01,29.7828201,-95.4637573
10906 CHEEVES DR HOUSTON TX 77016,77016,2021-10-01,29.873427,-95.29263
4219 EAST LN HOUSTON TX 77026,77026,2021-10-01,29.7991629,-95.3346512999999
3903 BOTANY LN HOUSTON TX 77047,77047,2021-10-02,29.6344272,-95.3652700999999
1906 CLEBURNE ST HOUSTON TX 77004,77004,2021-10-02,29.7309307,-95.3741623999999
6330 HARCOURT DR HOUSTON TX 77016,77016,2021-10-03,29.8745667,-95.2945233
10330 BASSOON DR HOUSTON TX 77025,77025,2021-10-03,29.6683306999999,-95.4460661
1802 WENTWORTH ST HOUSTON TX 77004,77004,2021-10-03,29.7272164,-95.3781231
7430 MILEY ST HOUSTON TX 77028,77028,2021-10-04,29.8167952,-95.2942786
6102 DELBURY ST HOUSTON TX 77085,77085,2021-10-04,29.6207271,-95.474873
12502 ADIRONDACK DR HOUSTON TX 77089,77089,2021-10-04,29.5852678,-95.1966394
7805 CHALLIE LN HOUSTON TX 77088,77088,2021-10-04,29.8790247,-95.4767205
5736 HARRIET ST HOUSTON TX 77023,77023,2021-10-04,29.7179329,-95.3177453999999
3711 TRAPPERS FOREST DR HOUSTON TX 77088,77088,2021-10-04,29.8675811,-95.4602937
4409 CLOVER ST HOUSTON TX 77051,77051,2021-10-04,29.6607078,-95.3613764
7402 TEXARKANA ST HOUSTON TX 77020,77020,2021-10-04,29.7840828,-95.2946837
7914 E MAGNOLIA ST HOUSTON TX 77012,77012,2021-10-04,29.7190755,-95.2801454999999
9555 CROFTON ST HOUSTON TX 77016,77016,2021-10-05,29.8504768,-95.3001634
7326 EUGENE ST HOUSTON TX 77093,77093,2021-10-05,29.8258531,-95.3456985999999
7232 EPPES ST HOUSTON TX 77087,77087,2021-10-05,29.6885227,-95.2994488
4204 CASTOR ST HOUSTON TX 77022,77022,2021-10-05,29.8256829,-95.3879980999999
2454 TURNER DR HOUSTON TX 77093,77093,2021-10-05,29.851461,-95.3457323999999
6302 GASTON ST HOUSTON TX 77016,77016,2021-10-05,29.8876412,-95.2957856
6634 INDIAN FALLS DR HOUSTON TX 77489,77489,2021-10-05,29.6001047,-95.4863519
8377 LA ROCHE LN HOUSTON TX 77036,77036,2021-10-06,29.6859152,-95.5373439
1521 MCCARTY ST HOUSTON TX 77029,77029,2021-10-06,29.7630427999999,-95.2833421
11802 MURR WAY HOUSTON TX 77048,77048,2021-10-06,29.6326139,-95.3497783999999
3910 KNOTTYNOLD LN HOUSTON TX 77053,77053,2021-10-06,29.6110337,-95.4354638
10644 W LITTLE YORK RD HOUSTON TX 77041,77041,2021-10-06,29.8681691,-95.561892
12714 MILL VALLEY RD HOUSTON TX 77048,77048,2021-10-06,29.6243862,-95.3541774999999
7815 EASTON ST HOUSTON TX 77017,77017,2021-10-07,29.6942307,-95.2841789
2829 FIRNAT ST HOUSTON TX 77093,77093,2021-10-07,29.8427562,-95.3414007
5008 ENNIS ST HOUSTON TX 77004,77004,2021-10-07,29.7193362,-95.3696514999999
7402 TEXARKANA ST HOUSTON TX 77020,77020,2021-10-07,29.7840828,-95.2946837
6715 INDIAN LAKE DR HOUSTON TX 77489,77489,2021-10-08,29.6031014,-95.4879036
10306 PEACH ST HOUSTON TX 77093,77093,2021-10-08,29.8592231,-95.3208906999999
5231 NORTHRIDGE DR HOUSTON TX 77033,77033,2021-10-08,29.6703104,-95.3440026
5506 SOUTHWIND ST HOUSTON TX 77033,77033,2021-10-08,29.6744044,-95.3377933
4619 KINGSBURY ST HOUSTON TX 77021,77021,2021-10-08,29.6970256,-95.3451194
12723 COAST DR HOUSTON TX 77047,77047,2021-10-08,29.6248332,-95.3647386999999
126 E 45TH ST HOUSTON TX 77018,77018,2021-10-09,29.8267784,-95.3983009999999
3514 DAWSON LN HOUSTON TX 77051,77051,2021-10-09,29.6536441,-95.3711573
4515 MOWERY RD HOUSTON TX 77047,77047,2021-10-09,29.6364886,-95.356961
10514 BUFFUM ST HOUSTON TX 77051,77051,2021-10-09,29.6454215,-95.3802753
1706 SAMPSON ST HOUSTON TX 77003,77003,2021-10-09,29.7393901,-95.3487679999999
4302 ACRES DR HOUSTON TX 77047,77047,2021-10-10,29.6419305,-95.3594542
2807 BERRY ST HOUSTON TX 77004,77004,2021-10-10,29.7297383,-95.36294
234 GLAZEBROOK DR HOUSTON TX 77060,77060,2021-10-11,29.9212141,-95.4000702
7800 AIRPORT BLVD HOUSTON TX 77061,77061,2021-10-11,29.6529701,-95.2770149
1126 DISMUKE ST HOUSTON TX 77023,77023,2021-10-11,29.727437,-95.3176608
3222 KING HOUSTON TX 77026,77026,2021-10-11,29.8177356,-95.3389043999999
7917 TATE ST HOUSTON TX 77028,77028,2021-10-11,29.8104128,-95.2836382999999
9421 CULLEN BLVD HOUSTON TX 77051,77051,2021-10-11,29.655136,-95.3551633
11003 FLEMING DR HOUSTON TX 77013,77013,2021-10-11,29.7765141,-95.2357713
11726 MURR WAY HOUSTON TX 77048,77048,2021-10-11,29.6336854,-95.3497685
2600 WESTRIDGE ST HOUSTON TX 77054,77054,2021-10-12,29.6828479,-95.4171507
1154 EDGEBROOK DR HOUSTON TX 77034,77034,2021-10-12,29.6419599,-95.2409634999999
125 N CAROLINA ST HOUSTON TX 77029,77029,2021-10-12,29.7387311,-95.2623019
6014 GREENPARK MANOR LN HOUSTON TX 77085,77085,2021-10-12,29.6320382,-95.4738521
4102 OMEARA DR HOUSTON TX 77025,77025,2021-10-12,29.6723324,-95.4444211
4219 EAST LN HOUSTON TX 77026,77026,2021-10-12,29.7991629,-95.3346512999999
5116 KARCHER ST HOUSTON TX 77009,77009,2021-10-13,29.8070944,-95.3707737
2901 DELANO ST HOUSTON TX 77004,77004,2021-10-13,29.7340148999999,-95.3600522999999
6330 HARCOURT DR HOUSTON TX 77016,77016,2021-10-13,29.8745667,-95.2945233
7915 EASTON ST HOUSTON TX 77017,77017,2021-10-13,29.6947806,-95.2816952
4005 TROUT ST HOUSTON TX 77093,77093,2021-10-14,29.8545947,-95.3272636
7933 DARLINGTON DR HOUSTON TX 77028,77028,2021-10-14,29.8349175,-95.282704
11403 NEWBROOK DR HOUSTON TX 77072,77072,2021-10-14,29.6847588,-95.5785686999999
6118 CAVANAUGH ST HOUSTON TX 77021,77021,2021-10-14,29.6919435999999,-95.3358389999999
7232 EPPES ST HOUSTON TX 77087,77087,2021-10-14,29.6885227,-95.2994488
12910 S COAST HOUSTON TX 77047,77047,2021-10-15,29.6224591,-95.3651003999999
2304 LEE ST HOUSTON TX 77026,77026,2021-10-15,29.7812729,-95.3465428999999
6423 TAUTENHAHN RD HOUSTON TX 77016,77016,2021-10-15,29.873465,-95.2934743
3242 KELLING ST HOUSTON TX 77045,77045,2021-10-15,29.62981,-95.4256417
9602 SOUTHWEST FWY HOUSTON TX 77074,77074,2021-10-15,29.6754065,-95.5433336999999
