zip code,Median earnings (dollars),total population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,White (%),Black or African American (%),American Indian and Alaska Native (%),Asian (%),Native Hawaiian and Other Pacific Islander (%),Some Other Race (%)
77061,32659,24238,10313,5481,815,1527,52,11009,42.548890172456474,22.61325191847512,3.362488654179388,6.3000247545176995,0.21453915339549468,45.420414225596176
77062,59776,24892,17178,2862,267,3812,42,2658,69.01012373453318,11.497669934115379,1.072633777920617,15.314157158926564,0.1687289088863892,10.678129519524346
77063,40346,39994,21500,9623,536,6609,123,8877,53.75806370955644,24.061109166374955,1.3402010301545233,16.52497874681202,0.30754613191978797,22.195829374406163
77064,42133,48924,25593,8677,1335,8200,88,15000,52.31174883492764,17.73567165399395,2.7287220995830266,16.760690049873272,0.1798708200474205,30.659798871719403
77065,44334,38393,23298,9551,624,3804,82,8694,60.68293699372281,24.876930690490454,1.6252962779673377,9.908056156070117,0.21358060063032322,22.644752949756466
77066,36865,38315,17512,9338,565,6021,208,12728,45.70533733524729,24.37165601,1.4746182957066423,15.714472138849015,0.5428683283309409,33.21936578363565
77067,33287,31800,13990,11104,646,2077,227,10219,43.99371069,34.918238993710695,2.0314465408805034,6.531446540880504,0.7138364779874214,32.13522012578616
77068,43985,12289,5394,4402,380,788,0,2739,43.892912360647735,35.82065261616079,3.092196273089755,6.412238587354545,0,22.28822524208642
77069,44721,20935,12674,6436,237,1229,10,3043,60.53976594220205,30.742775256747073,1.1320754716981132,5.870551707666587,0.047766898,14.535466921423454
77070,44073,57645,33748,12827,1439,7082,20,12094,58.54453985601526,22.25171307,2.4963136438546276,12.285540810130973,0.034695117,20.980137045710816
77071,34905,26794,8723,12953,307,2109,140,4868,32.55579607374786,48.34291259237143,1.1457789057251624,7.871165186235725,0.5225050384414421,18.168246622378145
77072,26980,58681,19343,15242,1517,14587,0,19070,32.962969274552236,25.97433582,2.585163852013429,24.858131252023654,0,32.49774202893611
77073,37132,43684,23315,13047,1326,695,223,15485,53.37194396117572,29.866770442267192,3.035436315355737,1.5909715227543266,0.510484388,35.44776119402985
77074,28688,37467,17377,5749,693,3718,10,18458,46.37948060960312,15.34416953585822,1.8496276723516694,9.923399258013719,0.026690154002188594,49.26468626
77075,34327,41012,25817,6119,819,2865,0,19601,62.949868331220124,14.920023407783086,1.9969764946844826,6.985760265288208,0,47.79332878181995
77076,26809,32641,22987,2597,271,207,0,16060,70.42370025428143,7.956251340338838,0.8302441714408259,0.634171747,0,49.20192396066297
77077,45880,63421,32056,20710,1034,7989,98,10398,50.54477223632551,32.65479888365053,1.630374796991533,12.596773939231484,0.1545229498115766,16.39520032796708
77078,28600,14705,5846,7324,108,0,0,3735,39.755185311118666,49.80618837130228,0.7344440666439986,0,0,25.39952397143829
77079,61683,35540,26700,5236,332,3495,81,5002,75.1266179,14.732695554305009,0.9341586944288126,9.833989870568374,0.22791221159257175,14.074282498593135
77080,33658,49064,21511,2532,1391,2713,35,30369,43.84273601826186,5.160606555,2.8350725582912113,5.529512473503995,0.071335399,61.89670634273602
77081,27982,51366,22123,6541,851,2580,90,32588,43.06934548144687,12.734104271307869,1.6567379200249193,5.022777712884008,0.17521317603083753,63.44274422769926
77082,35789,57269,21720,24289,813,6776,146,11865,37.92627774188479,42.412125233546945,1.4196161972445827,11.831881122422253,0.2549372260734429,20.718014981927396
77083,31352,74843,24865,24310,1634,18679,306,16735,33.22287989524739,32.481327579065514,2.1832369092633916,24.95757786,0.40885587162460085,22.36014056
77084,39937,109115,58760,19932,2717,13676,349,38115,53.85144114008157,18.266966044998394,2.490033450946249,12.533565504284471,0.31984603400082484,34.931036062869445
77085,35682,16947,6641,4784,1225,387,3,7215,39.18687673334513,28.229185106508524,7.228418009087154,2.2835900159320235,0.017702248,42.57390688617455
77086,29882,28623,13766,6235,944,2622,95,12617,48.094189987073335,21.783181357649443,3.2980470251196587,9.160465360025155,0.33190091884149114,44.07993571603256
77087,32927,35192,17342,6054,868,154,0,18691,49.27824505569448,17.20277335758127,2.4664696521936804,0.4375994544214595,0,53.11150261423051
77088,32015,54115,19882,21100,1639,2248,0,19000,36.74027533955465,38.991037605100246,3.028735101173427,4.154116233946226,0,35.11041300933198
77089,45252,56607,30865,10817,953,10250,146,17001,54.52505873831858,19.10894412351829,1.6835373717031463,18.107301217163954,0.25791863197131093,30.033388096878475
77090,35936,41843,15068,22978,809,1744,67,7932,36.01080228473102,54.91480056,1.933417775972086,4.167961188,0.16012236216332482,18.956575771335707
77091,28906,29135,11553,13850,462,409,0,7142,39.65333790973056,47.537326239917626,1.5857216406384071,1.4038098506950405,0,24.51347176934958
77092,34895,36185,24453,4483,1192,940,66,13062,67.57772557689651,12.38911151029432,3.294182672378057,2.5977615033853807,0.1823960204504629,36.09783059278707
77093,28493,46091,27224,5606,1236,252,67,23063,59.065761211516346,12.162895142218655,2.6816515154802456,0.5467444837386908,0.14536460480354083,50.03796837
77094,87835,10718,7717,760,123,2466,0,1490,72.00037320395596,7.090875163,1.1476021645829446,23.00802388505318,0,13.901847359582012
77095,49466,69912,44007,12602,1197,9891,126,15194,62.94627531754205,18.025517793797917,1.712152420185376,14.14778578784758,0.18022657054582905,21.733035816454972
77096,55162,33991,21351,7086,341,3285,89,6114,62.81368597569945,20.846694713306462,1.0032067311935513,9.664322909005325,0.26183401488629343,17.987114236121325
77098,83401,16318,12700,1238,413,2448,10,1570,77.82816521632553,7.586714058095355,2.530947420026964,15.001838460595662,0.06128202,9.621277117293786
77099,29587,49271,15772,16010,1000,7216,28,16110,32.01071624282032,32.493759006312025,2.0295914432424755,14.645531854437701,0.05682856,32.69671815063628
77204,5736,4056,2111,1220,28,759,0,612,52.04635108481263,30.078895463510847,0.6903353057199211,18.713017751479292,0,15.088757396449704
