zip code,Median earnings (dollars),total population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,White (%),Black or African American (%),American Indian and Alaska Native (%),Asian (%),Native Hawaiian and Other Pacific Islander (%),Some Other Race (%)
77002,54755,19616,10488,7426,694,1049,12,3371,53.46655791190864,37.85685155,3.537928221859706,5.347675367047308,0.061174551,17.18495106035889
77003,63831,9721,5945,2274,428,793,26,2395,61.15625964406954,23.392655076638206,4.4028392140726265,8.157596955045777,0.26746219524740256,24.63738298528958
77004,55909,35866,14352,18249,376,3432,118,3432,40.015613673116604,50.881057268722465,1.0483466235431886,9.568951095745275,0.3290023978140858,9.568951095745275
77005,100839,28231,22885,1086,325,4969,51,2276,81.06337005419574,3.846835039,1.1512167475470227,17.601218518649713,0.18065247423045588,8.062059438206228
77006,73275,23927,18415,2327,704,2862,33,3026,76.96326325907971,9.725414803,2.9422827767793707,11.961382538554771,0.137919505,12.646800685418146
77007,92408,45337,34184,4980,349,6374,192,5610,75.39978384101286,10.98440567307056,0.7697906786951055,14.059156979950153,0.4234951584798289,12.373999161832499
77008,84642,40155,33197,2394,362,3720,115,6117,82.67214543643382,5.961897647,0.9015066616859669,9.264101606275682,0.2863902378284149,15.233470302577512
77009,49446,36107,23190,3573,898,1633,12,14900,64.22577339574043,9.895588113,2.487052372,4.522668735,0.033234553,41.266236463843576
77010,146469,620,620,0,0,0,0,0,100,0,0,0,0,0
77011,36517,15681,9069,628,238,186,0,10134,57.83432179070213,4.004846629679229,1.5177603469166507,1.1861488425483069,0,64.62598049
77012,34012,16780,9663,1137,254,100,0,11498,57.586412395709175,6.775923718712754,1.5137067938021453,0.5959475566150179,0,68.52205005959475
77013,30299,17680,13045,3644,127,152,33,9775,73.78393665158372,20.610859728506785,0.7183257918552036,0.8597285067873304,0.18665158371040724,55.28846153846154
77014,34192,36314,10573,16975,998,3768,75,11899,29.115492647463785,46.745057002808835,2.7482513631106458,10.376163463127169,0.2065319160654293,32.76697692350058
77015,34477,58822,46216,9475,909,820,93,33807,78.56924280031281,16.107918805888954,1.545340179,1.3940362449423684,0.15810411070687838,57.47339430825201
