Variable,Coefficient,P_Value,CI_Lower,CI_Upper,Significant
C(season)[T.Fall],0.20211433667499856,3.0650429574739515e-05,0.10708511827130554,0.2971435550786916,True
rainfall,0.12069803610663798,0.0010791723303460246,0.048332877401929125,0.19306319481134684,True
rainfall_lag1,0.08205567475393483,0.03245075528380822,0.006861578442414598,0.15724977106545507,True
rainfall_cum7,0.08026768705018159,6.932013620284064e-07,0.04857041232755325,0.11196496177280993,True
percent_other,0.03716633788272743,1.9772753761979817e-68,0.032999412959859586,0.04133326280559527,True
income_scaled,0.030060935716827795,2.0784444285697667e-45,0.02589487905423745,0.03422699237941814,True
percent_black,0.02992743022891939,2.1494018056451415e-36,0.025271618436900088,0.03458324202093869,True
C(season)[T.Summer],-0.3257484288215805,3.720400725632959e-10,-0.4276513347016835,-0.22384552294147753,True
C(season)[T.Spring],-0.5738748717533412,5.38340472695691e-34,-0.6664093149375152,-0.48134042856916714,True
