Resolution,Data_Type,MSE,RMSE,MAE,Exact_Match,Within_1,Within_2
1,overflow,0.02436996143842323,0.15610881281472622,0.11741800803633196,0.9876543209876543,0.9993281263122533,0.9999160157890317
1,311_calls,0.7996462473475934,0.8942294153893582,0.6873105980510865,0.43232323232323233,0.9403666292555182,0.980546202768425
2,overflow,0.07109421690982046,0.2666349881576318,0.2267429164058564,0.9663582842724979,0.9976450798990748,0.9996635828427249
2,311_calls,1.9987426024477553,1.413768935310065,1.084418689423843,0.22418702232878765,0.8047355012737899,0.9472501123932264
3,overflow,0.13429504536750034,0.3664628840244266,0.3278500702624841,0.916497975708502,0.9964574898785425,0.9987348178137652
3,311_calls,3.5262176203960442,1.8778225742588261,1.4460863204798577,0.17357980162308387,0.6293958521190262,0.8604598737601443
7,overflow,0.48790744081016796,0.6985037156738452,0.6372577917394825,0.30677764565992865,0.9845422116527943,0.9994054696789536
7,311_calls,11.737940630219374,3.4260678087596825,2.704157231685498,0.09957627118644068,0.3103813559322034,0.5434322033898306
