﻿Site ID,Description,Source Address,Latitude,Longitude,Zipcode,
2115,Langham Creek @ Clay Rd,43181,29.835918,-95.625928,77079,
2120,Langham Creek @ West Little York Road,43143,29.867456,-95.647061,77084,
2130,Horsepen Creek @ Trailside Drive,43144,29.883876,-95.634673,77084,
2140,Langham Creek @ Longenbaugh Road,43145,29.895138,-95.696832,77095,
2150,South Mayde @ Greenhouse Road,43146,29.802411,-95.703888,77433,
2160,Bear Creek @ Clay Road,43147,29.831211,-95.687108,77084,
2170,South Mayde Creek @ Morton Road,43148,29.816945,-95.74048,77084,
2180,Bear Creek @ FM 529,43149,29.875125,-95.769477,77449,
2185,John Paul Landing,43201,29.9102972,-95.7872222,77493,
2190,South Mayde Creek @ Peek Road,43150,29.851108,-95.773611,77433,
2210,Buffalo Bayou @ Turning Basin,43152,29.749171,-95.291331,77449,
2220,Buffalo Bayou @ Milam Street,43153,29.764808,-95.361102,77020,
2240,Buffalo Bayou @ Shepherd Drive,43154,29.760145,-95.408655,77002,
2250,Spring Branch @ Bingle Road,43155,29.796238,-95.500348,77019,
2253,Buttermilk Creek @ Moorberry Lane,43195,29.815944, -95.532730,77055,
2255,Briar Branch @ Campbell Road,43161,29.78962,-95.5139,77080,
2260,Buffalo Bayou @ San Felipe Drive,43156,29.751207,-95.505614,77055,
2265,Buffalo Bayou @ Piney Point Rd,43180,29.747136,-95.523656,77063,
2270,Buffalo Bayou @ West Beltway 8,43157,29.762026,-95.557476,77063,
2280,Rummel Creek @ Brittmoore Road,43158,29.778606,-95.570092,77024,
2290,Buffalo Bayou @ Dairy Ashford Road,43159,29.761605,-95.606088,77079,
